"Tanggal","Nilai Ekspor Migas"
"2019-05-31","1054.2"
"2019-06-30","714.1"
"2019-07-31","1400.5"
"2019-08-31","842.9"
"2019-09-30","803"
"2019-10-31","860"
"2019-11-30","1033.7"
"2019-12-31","1133.3"
"2020-01-31","815.3"
"2020-02-29","805.2"
"2020-03-31","617.4"
"2020-04-30","562.1"
"2020-05-31","560.9"
"2020-06-30","567.4"
"2020-07-31","660.4"
"2020-08-31","599.6"
"2020-09-30","667.3"
"2020-10-31","614.5"
"2020-11-30","762.2"
"2020-12-31","1018.8"
"2021-01-31","883.8"
"2021-02-28","860.6"
"2021-03-31","951.5"
"2021-04-30","941.7"
"2021-05-31","940.6"
"2021-06-30","1239.3"
"2021-07-31","978.8"
"2021-08-31","1044.6"
"2021-09-30","934.8"
"2021-10-31","1064.3"
"2021-11-30","1339.5"
"2021-12-31","1068"
"2022-01-31","903.5"
"2022-02-28","1029.6"
"2022-03-31","1493.3"
"2022-04-30","1466.6"
"2022-05-31","1498.1"
"2022-06-30","1551.8"
"2022-07-31","1287.6"
"2022-08-31","1662.9"
"2022-09-30","1259"
"2022-10-31","1286.3"
"2022-11-30","1101.9"
"2022-12-31","1457.8"
"2023-01-31","1487.9"
"2023-02-28","1186.5"
"2023-03-31","1338.2"
"2023-04-30","1258.7"
"2023-05-31","1308.6"
"2023-06-30","1259.7"
"2023-07-31","1226.8"
"2023-08-31","1318.8"
"2023-09-30","1405.1"
"2023-10-31","1370.4"
"2023-11-30","1282.9"
"2023-12-31","1479"
"2024-01-31","1397.6"
"2024-02-29","1216.9"
"2024-03-31","1285.2"
"2024-04-30","1350"
"2024-05-31","1419.1"
